Sample ID,Storage Week ,Ripening Stage,PB1,Cat,PB2,Epi,Chlor,Idaein,Q hyper,Rutin,Q gluc,Q xyl,Q arab,Q rham,Phlo,Glut-FL,Quin-FL,Malic-FL,Asc-FL,Shik-FL,Citric-FL,Glut-SK,Quin-SK,Malic-SK,Asc-SK,Shik-SK,Citric-SK,Fructose,Sorbitol,Glucose,Sucrose,ABA,DPA,PA,7OH-ABA,ABA-GE,TSS,Firmness
DCA1_S31,11,Mid,0.18,0.11,1.95,2.67,0.43,0.23,1.7,0.03,0.18,0.45,2.28,0.97,0.15,21.68,1.65,21.44,0.27,0.08,0.3,3.912,1.228,6.876,1.216,0.047,0.286,271.822,11.226,73.691,102.817,22.45,0.1,0,5.3,41.05,14.5,69.433295
DCA1_S32,11,Mid,0.18,0.13,1.83,3.21,0.47,0.76,3.06,0.04,0.27,0.66,3.2,1.24,0.2,18.51,1.3,25.6,0.23,0.07,0.32,5.902,0.774,6.278,1.09,0.047,0.248,440.467,24.159,122.256,180.437,25.95,0.1,0,4,60.4,15.5,80.50181
DCA1_S33,11,Mid,0.18,0.1,1.44,2.56,0.41,0.48,0.86,0,0,0.24,1.31,0.54,0.21,26.76,1.6,26.63,0.21,0.09,0.34,7.25,1.27,7.169,0,0,0,347.73,16.191,91.063,111.611,20.3,40.6,0,7.5,103.7,14.85,72.55279
DCA1_S34,11,Mid,0.27,0.15,1.69,3.33,0.48,0.4,3.09,0.09,0.29,0.59,2.81,1.28,0.14,24.15,1.77,19.48,0.18,0.1,0,6.711,1.611,6.926,0.809,0.064,0,536.493,25.214,149.764,94.757,21.1,110.5,0,6.8,60.6,14.75,67.145965
DCA1_S35,11,Mid,0.19,0.09,1.19,2.7,0.51,0.77,1.55,0.02,0.17,0.39,1.96,0.75,0.25,26.1,1.61,25.9,0.27,0.12,0.3,9.177,0.874,8.939,0.768,0.077,0.277,340.177,14.999,89.911,105.66,26,103.4,0,6.6,99.5,15.05,63.516075
DCA1_S36,11,Mid,0.19,0.11,1.42,3.09,0.5,0.74,1.16,0,0.1,0.31,1.65,0.74,0.24,27.83,1.94,24.28,0.24,0.12,0,8.199,1.127,6.472,0.743,0.068,0.24,445.042,15.571,119.276,103.073,16.3,34.2,3.7,8,128,14.3,67.26097
DCA1_S37,11,Mid,0.16,0.1,1.2,2.13,0.35,0.22,0.49,0,0.04,0.19,1.02,0.49,0.13,32.8,0.95,23,0.15,0.12,0.34,6.5,1.188,6.978,0.086,0.087,0.311,308.902,8.258,84.027,69.904,32.2,0.15,0,5.9,98.7,12.6,63.76479
DCA1_S38,11,Mid,0.15,0.11,1.26,2.27,0.35,0.52,0.95,0,0.07,0.22,1.2,0.53,0.13,36.98,1.42,30.93,0.13,0.12,0.42,7.663,1.851,11.47,0.289,0.085,0.323,330.227,8.085,86.35,61.145,24.45,0.1,0,4.5,111.3,12.85,62.311065
DCA1_S39,11,Mid,0.16,0.14,1.45,2.59,0.41,1.05,1.52,0,0.11,0.37,1.85,0.74,0.18,32.56,0.8,24.34,0.24,0.09,0.33,5.066,0.759,6.794,0.548,0.035,0,281.823,11.144,77.969,88.087,16.2,29.4,0,6.3,109.7,14.55,64.97467
DCA1_S40,11,Mid,0.2,0.1,1.7,2.7,0.41,0.64,0.95,0,0.09,0.26,1.34,0.58,0.17,32.42,0.8,20.41,0.15,0.09,0.31,6.232,1.064,7.682,0.412,0.045,0.141,380.542,13.454,100.974,99.119,23.25,0.1,0,5.05,80.05,14.3,67.26238
