Sample ID,Storage Week,Ripening Stage,PB1,Cat,PB2,Epi,Chlor,Idaein,Q hyper,Rutin,Q gluc,Q xyl,Q arab,Q rham,Phlo,Glut-FL,Quin-FL,Malic-FL,Asc-FL,Shik-FL,Citric-FL,Glut-SK,Quin-SK ,Malic-SK ,Asc-SK,Shik-SK ,Citric-SK,Fructose,Sorbitol,Glucose,Sucrose,ABA,DPA ,PA ,7-OH-ABA ,ABA-GE ,TSS,Firmness
CA-S23,5,Early,0.263456252,0,0.913816384,1.38295275,0.517171172,0.283376506,1.37744136,0.158876971,0.226314537,0.321839429,0.611630671,0.644750756,0.197334267,21.34034289,1.380205617,28.87024923,0.304804929,0.174136455,1.815332567,9.787928268,1.14774868,12.64573742,1.837652048,0.092379176,0.392962265,452.6343019,23.50427733,88.65847914,252.6573911,81.60913645,6.345407182,0,76.90694723,113.4201183,14.75,69.153515
CA-S24,5,Early,0.113163254,0,0.946169869,1.995028385,0.593344847,0.90832214,0.816625095,0,0.10380522,0.229622413,0.427394507,0.407711858,0.153637002,19.03687927,1.502052406,29.7298289,0.298155123,0.15318787,2.224383963,6.270234845,0.975627219,8.136436441,1.043914532,0.061281638,0,478.3562432,28.48482417,90.52915888,252.6172507,70.15529788,6.857,0,0,99.05093444,15.05,73.627405
CA-S25,5,Early,0.296717397,0,1.145585021,1.907329617,0.473094419,0.324828517,0.588865754,0,0.092406323,0.231568975,0.464093992,0.497441703,0.220855555,26.2799375,2.558369779,24.59462818,0.27242076,0.195836366,1.379896997,14.2576606,2.917759398,17.61624474,1.156052784,0.194740627,1.98577814,345.5101819,11.13501925,92.35235206,69.02620876,101.4670736,12.89700459,0,43.04846372,199.6343573,14,70.57161
CA-S26,5,Early,0.216331518,0,0.865006725,1.737940933,0.641444957,0.916764258,1.916369417,0.147312406,0.213930528,0.374524924,0.65051401,0.793152745,0.184310741,18.63256497,1.115850847,25.22140297,0.357045939,0.139270327,0.988255896,14.09243903,1.164371711,17.89609115,1.587696289,0.124400596,1.465520823,429.2422802,23.97785688,82.84744475,270.1729422,107.5806435,5.818073675,0,34.99282843,109.7103114,15.45,69.26706
CA-S27,5,Early,0.225926682,0,0.8245488,1.388542731,0.380427753,0.490496027,0.408695864,0,0.072129892,0.165468244,0.298224522,0.297409635,0.148093306,21.56314712,1.134507927,32.8908746,0.298619766,0.143296318,1.391785805,14.01962382,1.302452485,22.31831439,1.304834063,0.141431653,1.816606131,457.0705316,32.67847887,80.57807352,314.8400083,121.4086297,8.73165562,7.952065161,16.03577654,98.1212121,15.05,77.96211
CA-S28,5,Early,0.236318813,0,0.954146604,1.460841694,0.636008203,0.146518375,0.412375105,0,0.06851053,0.194997779,0.375511209,0.417726619,0.147734103,24.18787936,2.660546358,35.77629515,0.233229645,0.235245637,0.776901513,13.10420124,2.584473969,21.27249222,1.341885444,0.219593743,2.015164654,495.7808765,13.39672282,159.7296097,112.3365863,141.9451236,18.1935354,11.50983498,17.78982123,133.2758199,10.85,67.95242
CA-S29,5,Early,0.261901797,0,0.942757162,1.643816235,0.583185012,0.171079169,0.362974289,0.059311156,0.080152729,0.159347882,0.284779881,0.292827843,0.142698748,20.57414144,1.40912686,31.86334221,0.228298624,0.153451163,2.764787414,12.0064983,2.406767107,21.96121618,0.724721765,0.236333216,1.219061986,757.3916046,27.74755633,129.2144574,357.0014778,113.0756924,9.514503752,8.306380315,15.97625977,90.05637622,13.7,68.673615
CA-S30,5,Early,0.10895387,0,0.927980722,1.739096896,0.379099155,1.045838282,1.29349023,0,0.138905232,0.266022891,0.454082943,0.561460001,0.15653391,17.88758672,1.752727163,27.73117376,0.283174568,0.166001536,1.391089195,10.03363267,1.21039297,18.26018621,0.801006486,0.1228857,1.552096944,756.380852,29.68541403,157.9524798,281.6163713,86.25024949,11.54056997,7.90942249,20.91321209,100.355423,14.35,66.90573
CA-S31,11,Mid,0.280968846,0,0.942505725,2.186431441,0.485775957,0.866898532,1.29698708,0.139685018,0.238192791,0.312377601,0.581079058,0.640700714,0.198757988,20.95330549,1.05650317,21.56913173,0.16316953,0.120261107,0,11.99352517,1.177288748,14.13021714,1.13911489,0.113729797,0.486989413,466.1525013,20.57099522,112.6853377,203.147973,72.445532,7.989910928,3.256705492,9.804607726,114.8341658,14.6,72.91653
CA-S32,11,Mid,0.292706907,0,1.005584746,2.223860582,0.519449312,0.371997071,0.385697484,0,0.087385812,0.204290155,0.406875128,0.422024543,0.213968047,21.30290812,1.197240349,24.2605497,0.27963737,0.134416644,0.422953393,12.00113085,1.630681715,14.89097741,1.23178538,0.133699759,0.521961242,435.7933792,20.42059521,97.47850858,198.1988221,74.84368838,9.027998419,3.362180127,11.59305554,131.6786425,14.9,76.35313
CA-S33,11,Mid,0.326051082,0,0.83575976,1.925943933,0.530536858,0.333444207,1.611753766,0.14901609,0.233489786,0.360705885,0.691430524,0.780460867,0.166334154,20.97346658,1.413669331,20.521821,0.343579878,0.11362641,0,11.61727317,1.322746324,13.00065241,1.840856176,0.101985296,0.405906799,419.9914296,20.91775814,98.71078368,194.6281953,93.98953912,0,2.694366302,10.42904392,125.3443264,14.2,70.762975
CA-S34,11,Mid,0.23993253,0,0.769004345,1.684821998,0.394614208,0.286746117,0.761401756,0.066941395,0.138202913,0.250596946,0.444323471,0.518278051,0.15809144,20.79937775,1.30996017,24.44936005,0.145224875,0.141160371,0.414114828,11.65060932,1.585571839,16.45925462,0.614486679,0.151694597,0.57495512,453.964587,25.23126686,118.7854013,155.198522,73.92187161,7.95732813,3.456280889,8.595073617,121.5083014,14.85,71.54004
CA-S35,11,Mid,0.244071703,0,0.831008298,1.771324602,0.463802938,0.626826741,1.637753652,0.309060387,0.294787944,0.326112942,0.598512663,0.700087707,0.172266412,21.72261952,1.398138677,22.07960722,0.123554503,0.168927808,0.454654392,12.94781408,1.484331709,14.80144077,0.964438175,0.162943102,0.587709168,242.4762848,9.189183288,59.36437303,73.90208614,61.07104481,7.923376685,3.050898305,7.042867628,132.5316469,15.25,69.84788
CA-S36,11,Mid,0.250118849,0,0.993902141,1.368741428,0.321841213,0.278956155,0.354576111,0.048349611,0.084124672,0.156298705,0.294546875,0.258629511,0.158818349,0,0,0,0,0,0,13.15183818,1.306144359,17.41626103,1.415284788,0.151566891,0.534229114,434.9604912,20.95497766,91.55065697,175.0039484,41.86182953,0,2.527188532,8.066963542,107.7747017,15,79.90692
CA-S37,11,Mid,0.330346555,0,0.950264337,2.332774484,0.540773803,0.434694385,0.697112162,0.065556733,0.108248084,0.235955832,0.4599922,0.479842555,0.209995804,20.88208495,1.659495628,27.90060471,0.3023383,0.146334551,0.482511933,13.08940698,2.081690524,19.31659783,1.292909376,0.134810265,0.540099754,418.2285142,19.29809378,96.26535059,168.3750995,59.13191653,9.802728532,4.196206512,12.4551658,142.1564347,15.65,68.53219
CA-S38,11,Mid,0.384119126,0,0.989931438,2.889191317,0.62730263,1.093383363,1.627662643,0.150083596,0.217951801,0.368055713,0.714081212,0.809982513,0.217552797,19.83790289,1.376230831,28.73492302,0.297305335,0.108530564,0.453145013,11.55603648,1.478452383,18.35924127,1.543302789,0.094350796,0.554405337,416.0550287,20.31774347,86.57635081,198.522288,102.7041657,7.060469183,3.605420684,15.84031804,150.2674838,15.45,69.50776
CA-S39,11,Mid,0.272527234,0,0.961862144,2.387472842,0.482679845,0.305465821,0.531658032,0,0.07799137,0.201153807,0.41163116,0.364029767,0.213894458,22.0413369,1.554351629,31.63522211,0.218506226,0.174088618,0.479079609,12.78773097,2.736650069,23.66190229,1.122015233,0.205868389,0.799367047,472.770929,23.12674306,142.1792523,130.0357376,75.45294615,9.453902756,4.405119509,10.3691888,162.0185399,14.1,78.703425
CA-S40,11,Mid,0.230537327,0,0.787532489,2.185569955,0.57712766,0.756178828,1.066728605,0.047730284,0.116912992,0.322178107,0.621332241,0.756822892,0.203491453,21.53512385,1.132837071,31.77145842,0.226357757,0.140562583,0.422207347,12.33176123,1.617328452,22.18387383,1.13554503,0.151894886,0.58313031,446.8295076,19.97288389,103.2565091,186.0767061,80.40216423,8.854081497,3.892089449,10.56863961,144.1451053,13.8,72.056165
CA-S41,11,Mid,0.216230622,0.048024798,0.879934558,2.242540138,0.571679603,0.372707941,0.34498567,0,0.068992922,0.173995994,0.336193117,0.337830357,0.196748619,21.55969267,1.277035288,32.05683753,0.224615447,0.15055535,0.465323296,8.548863193,1.402481134,15.5978365,0.680827043,0.123466738,0.443208625,440.0392097,21.47499083,106.3586681,178.4957788,87.41103374,9.855984637,4.277504272,11.2053779,121.332634,14.3,64.124025
CA-S42,11,Mid,0.272912416,0,0.87150234,1.909788382,0.505182796,0.394083248,1.311828907,0.059925437,0.12094374,0.367725187,0.672619662,0.814293393,0.244135132,20.89804656,1.26940313,30.57997036,0.22161163,0.158317175,0.44166295,3.507821414,0.653549801,6.58883221,0.413521758,0.076628288,0,443.8426332,20.59666903,105.6025856,204.8285294,79.59400602,11.13892848,4.800214045,12.25229326,125.6984009,13.85,68.06704
CA-S43,17,Mid,0.178957874,0.15557614,0.84561339,2.081095957,0.5047452,0.732071921,0.141969572,0,0.291152222,0.360721035,0.75521153,0.850906723,0.28611394,0.760679442,1.764104015,20.27287494,0.130178376,0.162202927,0.40003657,16.9539252,2.778998151,17.8748488,1.116761302,0.196289997,1.135703425,674.2272189,9.768912354,162.2246551,69.3051025,60.551829,13.30561744,4.742798145,9.490181534,147.5893641,14.5,74.29171
CA-S44,17,Mid,0.150564125,0.081116882,0.621862475,1.684098673,0.342285327,1.126997203,1.310259105,0.116109692,0.22198024,0.26590428,0.470665199,0.577903245,0.130990333,0.569848262,1.353134011,16.41715626,0.129634044,0.129368516,0.376183293,16.05907585,1.672812663,13.71231596,1.028269667,0.142220522,0.995856203,457.4014766,8.567723297,102.2049052,116.4384024,74.49803763,6.83575349,2.922354709,12.73989907,119.4617404,14.65,72.21011
CA-S45,17,Mid,0.285291955,0,0.994238241,1.963672938,0.72418793,0.173809291,1.137859428,0,0.119593532,0.291388094,0.572372645,0.68092983,0.18448018,0,2.155751668,18.5057551,0.105232253,0.180290829,0.337954848,15.62017742,3.081399878,16.90670536,0.732887992,0.252648334,1.136837802,605.8052932,12.46919781,174.2387737,45.89801594,52.39549362,19.87857478,4.326930079,8.500669334,126.6961649,15.05,70.59125
